WBodyID	WaterBodyName	DataSource	StationID	StationName	Actual_StationID	Actual_Latitude	Actual_Longitude	DEP_WBID	SampleDate	ActivityDepth	DepthUnits	Parameter	Characteristic	Sample_Fraction	Result_Value	Result_Unit	QACode	Result_Comment	Original_Result_Value	Original_Result_Unit
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/20/2016 7:47:00 AM	0.5	m	TP_ugl	Phosphorus as P	Total	138	ug/l	""		0.138	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/20/2016 11:08:00 AM	0.5	m	TP_ugl	Phosphorus as P	Total	129	ug/l	""		0.129	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/27/2016 7:44:00 AM	0.5	m	TKN_ugl	Nitrogen, Kjeldahl	Total	1140	ug/l	""		1.14	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/27/2016 7:44:00 AM	0.5	m	NOx_ugl	Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N	Dissolved	235	ug/l	""		0.235	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/27/2016 7:44:00 AM	0.5	m	TP_ugl	Phosphorus as P	Total	143	ug/l	""		0.143	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/27/2016 7:44:00 AM	0.5	m	TN_ugl	Nitrogen		1375	ug/l	""	Water Institute Calculated		
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/27/2016 11:18:00 AM	0.5	m	TP_ugl	Phosphorus as P	Total	112	ug/l	""		0.112	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/1/2016 10:45:00 AM	0.5	m	TN_ugl	Nitrogen		1505	ug/l	""	Water Institute Calculated		
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/1/2016 10:45:00 AM	0.5	m	Alk_CaCO3_mgl	Alkalinity, Total (total hydroxide+carbonate+bicarbonate)		86	mg/l CaCO3	""		86	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/1/2016 10:45:00 AM	0.5	m	NH3_N_ugl	Nitrogen, ammonia as N	Dissolved	14	ug/l	""		0.014	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/1/2016 10:45:00 AM	0.5	m	TKN_ugl	Nitrogen, Kjeldahl	Total	1500	ug/l	""		1.5	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/1/2016 10:45:00 AM	0.5	m	NOx_ugl	Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N	Dissolved	5	ug/l	"I"		0.005	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/1/2016 10:45:00 AM	0.5	m	TP_ugl	Phosphorus as P	Total	111	ug/l	""		0.111	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/1/2016 10:45:00 AM	0.5	m	OP_mgl	Phosphorus, phosphate (PO4) as P	Dissolved	0.017	mg/l	""		0.017	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/1/2016 10:45:00 AM	0.5	m	TSS_mgl	Total Suspended Solids (TSS)		18	mg/l	""		18	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/1/2016 10:45:00 AM	0.5	m	Turb_ntu	Turbidity		16.7	NTU	""		16.7	NTU
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/1/2016 10:45:00 AM	0.5	m	DO_mgl	Dissolved oxygen (DO)		6.79	mg/l	""		6.79	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/1/2016 10:45:00 AM	0.5	m	pH	pH		8.7	None	""		8.7	SU
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/1/2016 10:45:00 AM	0.5	m	Cond_umhocm	Specific conductance		344	umho	""		344	uS/cm
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/1/2016 10:45:00 AM	0.5	m	TempW_C	Temperature, water		30	deg C	""		30	deg C
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/1/2016 10:45:00 AM	0.5	m	TempW_C	Temperature, water		30	deg C	""		30	deg C
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/3/2016 8:35:00 AM	0.5	m	TKN_ugl	Nitrogen, Kjeldahl	Total	1280	ug/l	""		1.28	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/3/2016 8:35:00 AM	0.5	m	NOx_ugl	Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N	Dissolved	134	ug/l	""		0.134	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/3/2016 8:35:00 AM	0.5	m	TP_ugl	Phosphorus as P	Total	110	ug/l	""		0.11	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/3/2016 8:35:00 AM	0.5	m	TN_ugl	Nitrogen		1414	ug/l	""	Water Institute Calculated		
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/3/2016 11:51:00 AM	0.5	m	TP_ugl	Phosphorus as P	Total	66	ug/l	""		0.066	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/10/2016 7:51:00 AM	0.5	m	TKN_ugl	Nitrogen, Kjeldahl	Total	1280	ug/l	""		1.28	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/10/2016 7:51:00 AM	0.5	m	NOx_ugl	Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N	Dissolved	105	ug/l	""		0.105	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/10/2016 7:51:00 AM	0.5	m	TP_ugl	Phosphorus as P	Total	97	ug/l	""		0.097	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/10/2016 7:51:00 AM	0.5	m	TN_ugl	Nitrogen		1385	ug/l	""	Water Institute Calculated		
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/15/2016 11:20:00 AM	0.5	m	TN_ugl	Nitrogen		1354	ug/l	""	Water Institute Calculated		
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	8/15/2016 11:20:00 AM	0.5	m	Alk_CaCO3_mgl	Alkalinity, Total (total hydroxide+carbonate+bicarbonate)		86	mg/l CaCO3	""		86	mg/L
